;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Menu;Prix_Menu;Style_Culinaire;Note;Suggestion;Prix_Suggestion;Prestation;Horaires;Longitude;Latitude
26;;;;;;;;;;;;;;;;
27;Chez Mireille Le Darbelin;1780 rte Frebouges D'En Haut;74700;CORDON;04 50 58 06 04;www.ledarbelin.fr;;;Restaurant savoyard;5.0;['Barre de Foie gras, crumble et gelée de myrtille'];['15 €'];['Repas de groupe', 'Restaurant', 'Produits du terroir', 'Parking', 'Animaux acceptés', 'Plats du jour', 'Terrasse', 'Spécialités savoyardes', 'Accès aux personnes à mobilité réduite', 'Facilités bébés', 'Restaurants ', 'Cafés, bars '];['Lundi', '09h00 - 17h00', 'Mardi', '09h00 - 17h00', 'Mercredi', '09h00 - 17h00', 'Jeudi', '09h00 - 17h00', 'Vendredi', '09h00 - 17h00', 'Samedi', '09h00 - 17h00', 'Dimanche', ' 09h00 - 17h00'];;
28;Auberge du Lac;2 rte Port;74290;VEYRIER DU LAC;04 50 60 10 15;www.restaurant-aubergedulac.com;['Menu enfant : ', 'Menu : '];['10 €', '10 €'];Restaurant français;1.0;;;['Animaux acceptés', 'Terrasse couverte', 'Wi-fi', 'Repas de groupes', 'Facilités bébés', 'Langue parlée : anglais', 'Location de chambres', 'Accès aux personnes à mobilité réduite', 'Menu enfants'];['Lundi', 'Mardi', 'Mercredi', '12h00 - 14h30', '19h00 - 21h30', 'Jeudi', '12h00 - 14h30', '19h00 - 21h30', 'Vendredi', '12h00 - 14h30', '19h00 - 21h30', 'Samedi', '12h00 - 14h30', '19h00 - 21h30', 'Dimanche', '12h00 - 14h30', '19h00 - 21h30'];45.881835;6.174564
29;Brasserie des Européens;pl Hôtel de Ville;74000;ANNECY;04 50 45 00 81;www.brasserie-des-europeens.com;;;;;;;['accès aux personnes à mobilité réduite', 'facilités bébés', 'repas de groupes', 'plats à emporter', 'parking', 'animaux acceptés'];['Lundi', '12h00 - 14h00', 'Mardi', '12h00 - 14h00', 'Mercredi', '12h00 - 14h00', 'Jeudi', '12h00 - 14h00', 'Vendredi', '12h00 - 14h00', 'Samedi', '12h00 - 14h00', 'Dimanche', '12h00 - 14h00'];45.89909;6.12855
30;Restaurant La Diligence;pl Général de Gaulle;74160;SAINT JULIEN EN GENEVOIS;04 50 49 07 55;www.la-diligence.fr;;;Restaurant savoyard;5.0;;;"['Cuisine gastronomique', 'Animaux acceptés', 'Repas de groupes', 'Cave à vins', 'Accès aux personnes à mobilité réduite', 'Accès wi-fi', 'Terrasse', 'Plat à emporter', ""Galerie d'art"", 'Brasserie', 'Restaurants ', 'Cafés, bars ']";['Lundi', 'Mardi', '08h00 - 23h45', 'Mercredi', '08h00 - 23h45', 'Jeudi', '08h00 - 23h45', 'Vendredi', '08h00 - 23h45', 'Samedi', '08h00 - 23h45', 'Dimanche'];;
31;Chez Ingalls;29 r Vaugelas;74000;ANNECY;04 50 45 25 96;https://www.chezingalls.fr;;;cuisine française;4.0;['Véritable tresse de Mozzarella Italienne', 'Sashimi de Saumon gravlax à la façon du chef', 'Burger à la cowboy, pulled pork, oignons rouges, oignons frits, vieux comté, cornichons , frites et salade verte', 'Truite de nos lacs, cuite à l’unilatérale, pommes grenailles, épinards et jus vert'];['15 €', '12 €', '20 €', '22 €'];"['restaurant végétarien', 'animaux acceptés', 'terrasse', ""repas d'anniversaire"", 'restaurant repas de groupe', 'menu de fêtes', 'repas de groupe', 'climatisation', 'Restaurant', 'Restaurants ', 'Restaurants pour réceptions, pour séminaires ']";['Lundi', '12h00 - 14h00', '19h30 - 22h00', 'Mardi', '12h00 - 14h00', '19h30 - 22h00', 'Mercredi', '12h00 - 14h00', '19h30 - 22h00', 'Jeudi', '12h00 - 14h00', '19h30 - 22h00', 'Vendredi', '12h00 - 14h00', '19h30 - 22h30', 'Samedi', '12h00 - 14h00', '19h30 - 22h30', 'Dimanche', '12h00 - 14h00'];;
32;KFC Annemasse;64 rte Thonon;74100;ANNEMASSE;04 50 04 49 26;www.facebook.com;;;Restauration rapide;5.0;;;['Vegan', 'Poulet grillé', 'Uber Eats', 'Chèques Vacances', 'Poulet', 'Drive', 'Aire de jeux', 'Burger', 'Wrap', 'Hamburger', 'Salade', 'WIFI'];['Lundi', '11h00 - 22h00', 'Mardi', '11h00 - 22h00', 'Mercredi', '11h00 - 22h00', 'Jeudi', '11h00 - 22h00', 'Vendredi', '11h00 - 22h00', 'Samedi', '11h00 - 22h00', 'Dimanche', '11h00 - 22h00'];46.193999;6.258861
33;L'ASTI;17 av Cran;74000;ANNECY;04 50 67 08 57;www.restaurant-pizzeria-annecy.fr;;;Restaurant français;5.0;;;"['plat à emporter', 'Climatisation', 'Parking', ""repas de groupes, d'anniversaire"", 'Wi-fi', 'Terrasse couverte', 'Accès aux personnes à mobilité réduite', 'Restaurants ', 'Pizzerias ']";['Lundi', '07h30 - 15h00', '18h00 - 22h00', 'Mardi', '07h30 - 15h00', '18h00 - 22h00', 'Mercredi', '07h30 - 15h00', '18h00 - 22h00', 'Jeudi', '07h30 - 15h00', '18h30 - 23h00', 'Vendredi', '07h30 - 15h00\n ', '18h30 - 23h00', 'Samedi', '10h00 - 15h00', '18h30 - 23h00', 'Dimanche'];45.905561;6.118968
34;Le Ciselin Patrice;8 r Pré d'Avril;74940;ANNECY LE VIEUX;04 50 09 93 77;wwww.restaurant-le-ciselin.fr;;;cuisine française;5.0;;;['fait maison', 'animaux acceptés', 'terrasse', 'parking', 'facilité bébé', 'restaurant repas de groupe'];['Lundi', 'Mardi', '12h00 - 14h00', '19h00 - 22h00', 'Mercredi', '12h00 - 14h00', '19h00 - 22h00', 'Jeudi', ' 12h00 - 14h00', '19h00 - 22h00', 'Vendredi', '12h00 - 14h00', '19h00 - 22h00', 'Samedi', '12h00 - 14h00', '19h00 - 22h00', 'Dimanche'];;
35;Brasserie Brunet;10 r Poste;74000;ANNECY;04 50 51 22 10;www.brasseriebrunet.com;;;Restaurant français;5.0;;;['climatisation', 'repas de groupes', 'repas de groupe', 'facilité bébés', 'animaux acceptés', 'restaurants', 'cuisine gastronomique', 'facilités bébés', 'terrasse', 'Restaurants ', 'Cafés, bars '];['Lundi', 'Mardi', '12h00 - 14h00', '19h30 - 22h00', 'Mercredi', '12h00 - 14h00', '19h30 - 22h00', 'Jeudi', '12h00 - 14h00', '19h30 - 22h00', 'Vendredi', '12h00 - 14h00\n ', '19h30 - 22h00', 'Samedi', '12h00 - 14h00', '19h30 - 22h00', 'Dimanche'];45.9016;6.122727
36;Le Grenier;372 Charlet Straton;74400;ARGENTIÈRE;04 50 54 06 00;restaurant-legrenier.com;['Menu entrée, plat, dessert : ', 'Menu entrée, plat : ', 'Menu plat, dessert : '];['16.50 €', '14.00 €', '14.00 €'];Restaurant savoyard;5.0;"['Celle du Fournil: Pommes sautées au beurre salé, cannelle, miel, calvados', 'La coupe à Guy: 2 boules poire, eau de vie de poire', 'La Yaute : Salade verte, toast de Chèvre chaud, jambon, miel, olives', ""L'Assiette de charcuteries italiennes : Jambon cru mattonella, coppa, speck, pancetta al barolo, jambon blanc"", ""Quenelles de Féra, sauce à la bisque d'écrevisses du Léman, légumes"", 'La Croute de Nina : Pain, raclette fermière, chanterelles, Chignin et ail']";['7.00 €', '7.50 €', '8 €', '12 €', '21.50 €', '17.00 €'];['Menu ouvrier', 'Animaux acceptés', 'Service continu', 'Parking, terrasse', 'Wi-fi', 'Accès aux personnes à mobilité réduite'];['Lundi', '07h30 - 21h00', 'Mardi', '07h30 - 21h00', 'Mercredi', 'Jeudi', '07h30 - 21h00', 'Vendredi', '07h30 - 21h00', 'Samedi', '07h30 - 21h00', 'Dimanche', '07h30 - 21h00'];;
37;L'Ancoly;445 chem Gettiers;74450;LE GRAND BORNAND;06 84 05 79 80;http://www.ancoly.com/;;;restaurant traditionnel;5.0;;;"['terrasse', 'restaurant repas de groupe', 'accès handicapés', ""restaurant d'altitude"", 'brasserie']";['Lundi', '09h00 - 17h00', 'Mardi', '09h00 - 17h00', 'Mercredi', '09h00 - 17h00', 'Jeudi', '09h00 - 17h00', 'Vendredi', '09h00 - 17h00', 'Samedi', '09h00 - 17h00', 'Dimanche', '09h00 - 17h00'];;
38;Oxo;25 r Centrale;74940;ANNECY LE VIEUX;04 50 68 54 82;fr-fr.facebook.com;;;;;;;['terrasse', 'facilité bébé', 'wifi', 'brasserie'];['Lundi', '11h00 - 00h00', 'Mardi', '11h00 - 03h00', 'Mercredi', '11h00 - 03h00', 'Jeudi', '11h00 - 03h00', 'Vendredi', '11h00 - 03h00', 'Samedi', '11h00 - 03h00', 'Dimanche', '00h00 - 03h00'];;
39;Chinatown;8 pass Bains;74000;ANNECY;04 50 09 29 24;https://www.restaurant-chinois-annecy.fr;;;;;;;['buffet à volonté', 'repas de groupe', 'parking', 'plat à emporter', 'menu enfant'];['Lundi', 'Mardi', '12h00 - 14h00', '19h00 - 23h00', 'Mercredi', '12h00 - 14h00', '19h00 - 23h00', 'Jeudi', '12h00 - 14h00', '19h00 - 23h00', 'Vendredi', '12h00 - 14h00', '19h00 - 23h00', 'Samedi', '12h00 - 14h00', '19h00 - 23h00', 'Dimanche', '12h00 - 14h00', '19h00 - 23h00'];45.899393;6.123025
40;McDonald's Megève;603 rte Nationale;74120;MEGÈVE;04 50 21 15 15;www.restaurants.mcdonalds.fr;;;fast food;5.0;;;"[""L'Happy anniversaire"", 'Wifi', 'Burger', 'Accès handicapés', 'Les Sandwichs', 'Climatisation', ""L'offre Happy Meal"", 'Vente à emporter', 'Les Desserts', ""L'offre McCafé"", 'Facilités bébés', 'McDrive', 'Fast Food', 'Les Salades', 'Hamburger', 'Les Menus', 'Commande en ligne', 'Les Boissons', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '09h00 - 23h00', 'Mardi', '09h00 - 23h00', 'Mercredi', '09h00 - 23h00', 'Jeudi', '09h00 - 23h00', 'Vendredi', '09h00 - 23h00', 'Samedi', '09h00 - 23h00', 'Dimanche', '09h00 - 23h00'];45.863988;6.625301
