Name;address;Ville;CP;telephone;site
Collomb; 20  pl  Gabriel  Fauré ;74000; ANNECY  LE  VIEUX ; 04  50  23  09  90 ;http://www.le-clocher.com/restaurant.php
 Chalet  Hotel  Le  Castel ; 100  rte  Tines ;74400; CHAMONIX  MONT  BLANC ; 04  50  21  12  12 ;http://www.lecastel-chamonix.com
 Les  Carroz  Domal ; Chalet  Des  Molliets  Molliets ;74300; ARÂCHES  LA  FRASSE ; 04  50  90  05  09 ;http://restaurant-lescarroz.com
 Les  3  Chauves ; 60  rte  Rutys ;74370;PRINGY; 09  72  96  51  72 ;None
 ELYG  Concept ; 16  r  Deux  Montagnes  Quebec ;74100; VILLE  LA  GRAND ; 04  50  06  75  35 ;http://www.edys-diner.com
 ELIYA  RESTAURANT ; 12  pl  Gerard  Bochet ;74580;VIRY; 04  50  84  37  91 ;None
 Au  Bon  Vieux  Temps ; 258  rte  Villavit ;74450; LE  GRAND  BORNAND ; 04  50  02  32  38 ;http://www.au-bon-vieux-temps.fr
 Auberge  de  Plan  Bois ; Col  de  Plan  Bois ;74230; LES  CLEFS ; 04  50  44  40  83 ;www.facebook.com
 Restaurant  Les  Fontaines  Blanches  (SARL) ; imm  Fontaines  Blanches  Avoriaz  pl  Centrale ;74110;MORZINE; 04  50  74  12  73 ;None
 Restaurant  Les  Chevrelles ; 2999  rte  Mont  Caly ;74260; LES  GETS ; 04  50  79  85  40 ;http://www.morznet.com/restaurants/les-chevrelles-restaurant-the-portes-du-soleil-695783
 Patruno  Marielle ; 100  Bis  imp  Bezu ;74300; CHÂTILLON  SUR  CLUSES ; 04  50  58  29  44 ;None
 C'Era  Una  Volta ; 54  r  Genève ;74100;ANNEMASSE; 04  50  75  07  04 ;http://www.ristoranteceraunavolta.fr
 La  Dent  du  Géant ; Hôtel  Le  Chris  Tal  242  av  Alpages ;74310; LES  HOUCHES ; 04  50  54  50  55 ;http://www.chris-tal.com/fr/restaurant_fr.asp
 Le  Petit  Breton ; Le  Petit  Breton  0  16  r  Nationale ;74500; EVIAN  LES  BAINS ; 04  50  83  06  12 ;None
 La  P'tite  Nana ; 12  r  Sommeiller ;74000;ANNECY; 04  50  77  82  05 ;None
 Pizza  Schuss ; 6  r  Crusaz ;74110;MORZINE; 06  11  91  94  04 ;None
 Au  Jardin  d'Eden ; 1  av  Gén  Dupas ;74500; EVIAN  LES  BAINS ; 04  50  38  62  26 ;http://www.jardin-eden-evian.com
 Tout  le  Monde  en  Parle  Pizza ; 394  av  Mont  D'Arbois ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  47  71  39 ;www.facebook.com
 Bar  Du  Lac ; les  Plagnes ;74360;ABONDANCE; 04  50  73  01  63 ;None
 La  Cordée ; 39  r  Allobroges ;74400; CHAMONIX  MONT  BLANC ; 04  50  53  07  56 ;www.accorhotel.com
 One  Again ; 12  pl  Charles  Albert ;74700;SALLANCHES; 04  50  89  56  39 ;facebook.com
Kessak; 595  av  Bonnatrait ;74140;SCIEZ; 04  50  81  95  58 ;www.kessak.fr
Din; 20  Grande  Rue ;74160; SAINT  JULIEN  EN  GENEVOIS ; 04  50  36  23  79 ;http://www.taj-mahal-restaurant.fr
 Restaurant  La  Spaghetterie ; 3686  rte  Fer  à  Cheval ;74250; VIUZ  EN  SALLAZ ; 04  50  31  48  52 ;www.facebook.com
 Restaurant  la  Tour  d'Ivoire  Le  Matin  Samy ; 769  r  Gare ;74930; REIGNIER  ESERY ; 04  50  95  13  96 ;http://www.latourdivoire.com
 Sas  Shoosh ; 20  r  Faucigny ;74100;ANNEMASSE; 04  57  26  20  03 ;None
On'Kart; 1618  rte  Gare ;74580;VIRY; 04  50  38  34  13 ;www.on-kart.fr
 Losiak  Jean-Pierre ; 325  r  Montagny ;74700;SALLANCHES; 04  50  58  31  13 ;None
 LE  GALETA ; 150  imp  Lupins ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  93  16  11 ;http://www.le-galeta.fr/
 Le  Mont  Jorat ; Chef  Lieu ;74360;ABONDANCE; 04  50  81  31  80 ;www.montjorat.fr
 Quick  Anthy  Last  Burger  Franchisé  indépendant ; rte  Impériale ;74200; ANTHY  SUR  LÉMAN ; 04  50  70  03  34 ;http://www.quick.fr
 Hôtel  Restaurant  de  La  Gare'gote ; 263  pl  Gare ;74130;BONNEVILLE; 04  50  97  10  45 ;None
 L'Etable  Du  Savoyard ; 94  av  St  Disdille ;74200; THONON  LES  BAINS ; 04  50  71  05  56 ;http://www.thononlesbains.com/fr/restaurant/1/147173-l-etable-du-savoyard.html
 Javen  D'en  Haut ; 1370  chem  Rée ;74120;MEGÈVE; 04  50  91  92  66 ;http://www.lacdejaven.fr/contact
 A  La  Fertire ; 38  rte  Village ;74800; SAINT  SIXT ; 04  50  25  90  29 ;http://la-fertire.e-monsite.com
 Hôtel    le  Cottage ; Les  Collectionneurs  390  rte  Port ;74210; TALLOIRES  MONTMIN ; 04  50  60  71  10 ;http://www.cottagebise.com
 Prix  Choc ; 1  bd  Canal ;74200; THONON  LES  BAINS ; 04  50  73  89  56 ;None
Angkor; 13  r  Genève ;74100;AMBILLY; 04  50  37  80  76 ;None
 Hôtel  le  Beau  Séjour ; 134  pl  Arcades ;74800; SAINT  PIERRE  EN  FAUCIGNY ; 04  50  03  71  26 ;https://www.hotel-restaurant-beausejour-74.fr
L'avalanche; résid  Hirmentaz ;74470;BELLEVAUX; 09  67  33  03  13 ;None
 Bulut  Sylvie ; 25  av  Giffre ;74100;ANNEMASSE; 09  50  34  33  73 ;None
 Keur  N'Deye ; 62  r  Genève ;74240;GAILLARD; 04  50  38  98  97 ;http://restaurant-senegalais.over-blog.com
 L  Etoile  des  Neiges ; 29  la  Barotiere ;74920;COMBLOUX; 06  76  54  40  32 ;www.facebook.com
 Pizzeria  De  La  Vallée ; 112  r  Commerce ;74700;SALLANCHES; 06  51  93  97  23 ;http://www.pizzeriadelavallee.fr
 New  Tokyo  SARL ; Zone  Du  Grand  Epagny  Est  167  r  Peupliers ;74330; EPAGNY  METZ  TESSY ; 04  50  22  80  80 ;http://www.newtokyo74.com
 Restaurant  Himalaya ; 37  r  Chablais ;74100;ANNEMASSE; 04  50  49  76  99 ;None
 Bowling  Du  Mont  Blanc ; 531  r  Capit  Bulle ;74700;SALLANCHES; 04  50  18  00  00 ;http://www.escapemontblanc.com
 Hôtel  Fleur  De  Neige ; 564  rte  Vonnes ;74390;CHÂTEL; 04  50  73  20  10 ;http://www.hotel-fleurdeneige.fr
PH08; 7  pl  Crétet ;74300;CLUSES; 04  50  47  94  65 ;http://www.pho8.fr
 RAMIQI  ALI ; 3  rte  Lyon ;74160; SAINT  JULIEN  EN  GENEVOIS ; 06  42  61  16  16 ;None
 Hôtel  Villa  Cécile ; 156  rte  Messery ;74140;YVOIRE; 04  50  72  27  40 ;www.villacecile.com
Marmott'; 510  rte  N-D  de  La  Gorge ;74170; LES  CONTAMINES  MONTJOIE ; 04  50  47  81  67 ;http://www.lo-contamines.com
 MONKEY  BAR  74  MONKEYS ; 81  pl  Edmond  Desailloud ;74400; CHAMONIX  MONT  BLANC ; 04  50  96  64  34 ;http://www.monkeychamonix.com
Anthony'z; 10  all  Tilleuls ;74000; ANNECY  LE  VIEUX ; 04  50  63  22  86 ;www.facebook.com
 LA  TABLE  VERTE  (SARL) ; chem  Mouilles ;74550;PERRIGNIER; 04  56  81  21  79 ;None
 La  Becanerie ; 155  r  Centre ;74260; LES  GETS ; 04  56  35  67  49 ;www.facebook.com
CREP'PARADISE; 9  r  Adrien  Ligué ;74100;ANNEMASSE; 04  57  43  13  44 ;None
 Restaurant  L'Equipe ; 199  r  Charles  Feige ;74120;MEGÈVE; 04  50  93  01  83 ;http://www.casinosbarriere.com/fr/megeve.html
 PIZZERIA  LE  CORAIL ; 4  r  Chablais ;74100;ANNEMASSE; 04  50  38  66  94 ;None
 Le  Tindaris ; 58  r  Grottes  de  Balme ;74300;MAGLAND; 04  50  34  76  94 ;None
 Hotel  Restaurant  Le  Bellevue ; Ascenseur  le  Nouy ;74500; THOLLON  LES  MÉMISES ; 04  50  70  92  79 ;http://www.hotellebellevue.com
 Restaurant  Anais ; 158  r  Antoine  Pissard ;74700;SALLANCHES; 04  50  93  92  06 ;None
Benattia-Hichou; 20  r  Faucigny ;74100;ANNEMASSE; 04  50  80  60  25 ;None
 Le  Vieux  Cédre ; 10  r  Gare ;74000;ANNECY; 04  50  45  40  85 ;http://www.levieuxcedre.fr
 Novotel  Annecy  Centre  Atria ; 1  Place  Marie  Curie  1  av  Berthollet ;74000;ANNECY; 04  50  33  54  54 ;http://www.accorhotels.com/fr/hotel1357novotelannecycentreatria/index.shtml
 Le  Comptoir  D'Alice ; 66  r  Ambroise  Martin ;74120;MEGÈVE; 04  50  58  71  31 ;http://www.lecomptoirdalice.com
 Free  Wok ; Galerie  Marchande  Les  Sorbiers  B  13  r  Royale ;74000;ANNECY; 06  78  50  16  60 ;www.facebook.com
 La  Bella  Italia ; 11  av  Thony ;74500; EVIAN  LES  BAINS ; 04  50  37  54  82 ;http://www.labellaitaliaevian.com
 Restaurant  Le  Champ-Tillet ; 28  ch  du  Chenevier ;74210;MARLENS; 04  50  44  40  07 ;www.restaurant-champ-tillet.fr
 Le  Relais  Du  Mont  Blanc ; 19  rte  Bellegarde ;74300;MAGLAND; 04  50  21  00  85 ;http://www.lerelaisdumontblanc.fr/restaurant
 Le  66 ;MORZINE;74110;MORZINE; 04  50  38  95  07 ;None
 Les  Trésoms ; 15  bd  Corniche ;74000;ANNECY; 04  50  51  43  84 ;www.lestresoms.com
 Chez  Marie  Jo ; 773  rte  Soly ;74250;FILLINGES; 04  50  36  26  71 ;http://www.chezmariejo.com
 Au  Cherch'Midi ; 287  rte  Creuses ;74600;SEYNOD; 04  50  69  35  53 ;None
 La  Baratte  SARL ; les  Nants ;74320;LESCHAUX; 04  50  32  03  58 ;www.facebook.com
 La  Brasserie ; Place  Centrale  169  pro  Festival ;74110;MORZINE; 04  50  74  12  50 ;None
 La  Folie  Douce  Avoriaz  Morzine ; 560  rte  Alpage ;74110;MORZINE; 04  50  74  01  30 ;http://www.lafoliedouce.com/fr/les-folie-douce/accueil-folie-douce-morzine-avoriaz.html
 LE  BONHEUR  DANS  LE  PRE  LUCYCOBAC ; 2011  rte  Bellevue ;74380;LUCINGES; 04  50  43  37  77 ;http://www.lebonheurdanslepre.com
 Hôtel  Les  Sapins ; 105  chem  Riffroids ;74220; LA  CLUSAZ ; 04  50  63  33  33 ;www.facebook.com
Miamami; 22  Grande  Rue ;74440;TANINGES; 04  50  96  31  93 ;http://www.miamami.org
 Four  Seasons  Hôtel  Megève ; 373  chem  Follières ;74120;MEGÈVE; 04  50  21  12  11 ;http://www.fourseasons.com/fr/megeve
 San  Juliano  Le ; 148  imp  Commerce ;74160;NEYDENS; 04  50  49  50  02 ;http://www.sanjuliano.com
 Hôtel  Le  Dahu ; 293  chem  Mas  Metout ;74110;MORZINE; 04  50  75  92  92 ;www.dahu.com
 Fan  House ; 36  r  Sommeiller,  PAS  Près  Carré ;74000;ANNECY; 04  50  51  34  41 ;None
 Garin  Davet  Henri ; rte  Lac ;74440;MIEUSSY; 04  50  43  05  64 ;None
 Allo  Pizza  74 ; 10  pl  Mairie ;74320;SEVRIER; 04  57  41  55  69 ;None
 The  New  Clarines  Bar ; La  Clarine  88  av  Cognacq  Jay ;74340;SAMOËNS; 04  50  34  17  82 ;None
 Auberge  de  Colombaz ; chem  Colombaz ;74170; LES  CONTAMINES  MONTJOIE ; 04  50  47  01  50 ;http://www.auberge-colombaz.fr
 Restaurant  La  Table  du  Trappeur ; 159  r  Monseigneur  Conseil ;74120;MEGÈVE; 04  50  21  15  73 ;http://www.chaletsaintgeorges.com/fr/restaurants/la-table-du-trappeur
 Crêperie  Bretonne  la  Bolée ; 14  r  Ile ;74000;ANNECY; 04  50  45  26  62 ;None
 Le  Serasson ; Lieu  Dit  les  Tendues  Praz  sur  Arly ;74120; PRAZ  SUR  ARLY ; 06  47  40  51  69 ;None
 L'O  A  La  Bouche ; 510  rte  N-D  de  La  Gorge ;74170; LES  CONTAMINES  MONTJOIE ; 04  50  47  81  67 ;http://www.lo-contamines.com
 La  Taverne ; 2863  rte  Bauges ;74540;GRUFFY; 04  50  05  15  99 ;www.la-taverne-gruffy.fr
 Pizza  Du  Treige ; 527  av  Aix  les  Bains ;74000;SEYNOD; 04  50  46  69  39 ;http://www.pizzadutreige.fr
 La  Maison ; Zone  Commerciale  Du  Grand  Epagny  520  rte  Prés  Rollier,  Epagny ;74330;SILLINGY; 04  50  22  02  55 ;http://lamaison-sillingy.site-solocal.com
 Au  Fidèle  Berger ; 2  r  Royale ;74000;ANNECY; 04  50  51  04  75 ;http://www.aufideleberger.fr
L'Optraken; 48  pl  Eglise ;74450; LE  GRAND  BORNAND ; 04  50  44  25  71 ;www.facebook.com
 Chalet  D'Alpage ; La  Villaz  Combafou  2135  rte  Taninges ;74110; LA  CÔTE  D'ARBROZ ; 09  88  77  42  26 ;None
 Pizza  Relax ; 9  r  Ecoles ;74000; ANNECY  LE  VIEUX ; 04  50  27  71  60 ;http://www.pizza-relax.com
 Buffalo  Grill ; Zone  Industrielle  La  Chatelaine  22  r  René  Cassin ;74240;GAILLARD; 04  50  35  79  52 ;http://restaurant.buffalo-grill.fr/261648-buffalo-grill-annemasse-gaillard
 Crêpes  Coffee  Shop ; 16  r  Nationale ;74500; EVIAN  LES  BAINS ; 04  50  83  06  12 ;None
 Class  Croute  DDT  Commerce  indépendant ; 4  B  av  Pont  Tasset ;74960; CRAN  GEVRIER ; 04  50  62  22  89 ;www.classcroute.com
 L'Auberge  De  Gaillard ; 25  r  Libération ;74240;GAILLARD; 04  50  38  28  97 ;http://www.pension-gaillard.com/index.html
HERMANOS; 6  pl  Jean  Jacques  Rousseau ;74100;ANNEMASSE; 09  75  24  02  53 ;None
 Aux  Ducs  de  Savoie ; Hôtel  Les  Ducs  De  Savoie  r  23  Juillet  1944 ;74500; SAINT  GINGOLPH ; 04  50  76  73  09 ;http://www.auxducsdesavoie.fr
 Flocons  Village ; 75  r  St  François  de  Sales ;74120;MEGÈVE; 04  50  78  35  01 ;http://www.floconsdesel.com/fr
 L'atelier  Pizza ; 212  r  République ;74210; FAVERGES  SEYTHENEX ; 04  50  65  83  19 ;None
 Tancredi  Guy ; 12  imp  Fauvettes ;74100;ETREMBIÈRES; 04  50  39  18  08 ;None
 Restaurant  Fruitière  des  Perrières ; 137  rte  Perrières ;74260; LES  GETS ; 04  50  79  70  04 ;www.fruitiere-lesgets.com
 Vuarand  François ; 1086  rte  Bechigne ;74390;CHÂTEL; 09  62  58  07  80 ;None
Avicenne; 10  r  Ferdinand  Dubouloz ;74200; THONON  LES  BAINS ; 04  58  66  11  28 ;www.facebook.com
 Crescendo  Restauration ; Ccal  Carrefour  1751  av  Genève ;74700;SALLANCHES; 04  50  93  98  94 ;http://www.crescendo-restauration.fr/restaurant-sallanches-10.html
 Hôtel  Mont  BLanc ; 62  all  Majestic ;74400; CHAMONIX  MONT  BLANC ; 04  50  53  05  64 ;http://www.hotelmontblancchamonix.com/fr
 La  Foyée ; Croisée  des  Chemins ;74270; CHÊNE  EN  SEMINE ; 04  50  77  12  89 ;http://www.restaurantlafoyee.fr
 Bistrot  le  Plein  Bouillon ; 121  r  Prés  Faure ;74800; LA  ROCHE  SUR  FORON ; 04  50  03  42  37 ;www.facebook.com
 Restaurant  le  Bistrot  de  Megève ; 76  r  Charles  Feige ;74120;MEGÈVE; 04  50  21  32  74 ;http://www.lebistrotdemegeve.com
 Au  Péché  Mignon ; 9  r  Jean  Jacques  Rousseau ;74000;ANNECY; 04  50  45  39  96 ;None
 Restaurant  Le  Bilboquet ; 14  fbg  Ste  Claire ;74000;ANNECY; 04  50  45  21  68 ;http://www.restaurant-lebilboquet.com
 La  Folie  Douce  La  Fruitière ; Sommet  du  Telesiege  Mont-Joux  SAINT  GERVAIS  LES  BAINS ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  58  99  67 ;http://www.lafoliedouce.com/fr/les-folie-douce/saint-gervais-megeve.html
 Boulangerie  Reibel ; Les  Arcades  1  r  Monnaie ;74500; EVIAN  LES  BAINS ; 04  50  92  59  72 ;www.boulangeriepatisseriereibel.fr
 Auberge  Des  Terres  Maudites  Chez  Layan-ne ; 4896  rte  Manche ;74110;MORZINE; 04  50  79  03  93 ;www.facebook.com
 Café  Restaurant  Fructus ; Arcine  153  r  Mairie ;74270;CLARAFOND; 04  50  77  90  13 ;None
 Hôtel  Restaurant  La  Crémaillère ; 7134  rte  Chinaillon ;74450; LE  GRAND  BORNAND ; 04  50  51  27  09 ;http://hotel-la-cremaillere.fr
 Flocons  De  Sel ; 1775  rte  Leutaz ;74120;MEGÈVE; 04  50  21  49  99 ;http://www.floconsdesel.com/fr
 La  Gondola ; imm  Le  Moil  Sud  3  r  Vallard ;74240;GAILLARD; 04  50  87  05  18 ;http://nicolacarmen.site-solocal.com
 Le  Ryad ; 38  av  Cran ;74000;ANNECY; 04  50  46  41  84 ;www.facebook.com
 Brasserie  Le  Must ; 60  rte  Clermont ;74330;SILLINGY; 04  50  63  45  73 ;www.facebook.com
 La  Fourchette  Alsacienne ; 23  av  Grande  Rive ;74500; EVIAN  LES  BAINS ; 04  50  83  63  19 ;http://lafourchettealsacienne.e-monsite.com
 La  Potinière ; 38  pl  Balmat ;74400; CHAMONIX  MONT  BLANC ; 04  50  53  02  84 ;None
 Quick  FIX  BURGER-FRANCE  QUICK  SAS ; Centre  Bonlieu  1  r  Jean  Jaurès ;74000;ANNECY; 04  50  52  90  81 ;http://www.quick.fr
 Pizza  Giovanni ; Ccal  Champ  Fleuri  16  pl  St  Jean ;74000;SEYNOD; 04  50  69  09  87 ;www.facebook.com
 Hôtel  Le  Foron ; 50  imp  Etang ;74800; LA  ROCHE  SUR  FORON ; 04  50  25  82  76 ;http://www.inter-hotel.com
 Ô  Chalet ; 77  rte  Combe  à  Zore ;74110;MORZINE; 04  50  79  17  18 ;fr-fr.facebook.com
 A  La  Bonne  Francrepe ; Gillon  507  rte  Bellegarde ;74330; EPAGNY  METZ  TESSY ; 07  67  24  35  39 ;http://www.alabonnefrancrepe.fr
 Boulangerie  Demange ; 2900  rte  Cordon ;74700;CORDON; 06  72  53  36  43 ;www.facebook.com
 Le  Poivrier ; 15  fg  Ste  Claire ;74000;ANNECY; 09  67  34  66  52 ;None
 LE  FOURNIL  SUCRE  SALE ; 64  rte  Valleiry ;74160;VERS; 04  50  31  97  07 ;None
 PIZZERIA  DES  LACS ; 650  av  Louis  Coppel ;74300;THYEZ; 04  50  89  87  65 ;None
 Ciné  Pizza ; 1169  av  Genève ;74700;SALLANCHES; 06  08  42  67  77 ;cine.pizzas.free.fr
 La  Gamelle ; résid  Arve  Giffre  660  plt  Saix ;74340;SAMOËNS; 06  67  83  85  38 ;www.facebook.com/LaGamelle1600
 Le  St  Vincent ; 14  r  Faubourg  Saint  Vincent ;74300;CLUSES; 04  50  96  17  47 ;http://www.le-saint-vincent.com
 Hôtel  Bar  Restaurant  l'Edelweiss ; Chef  Lieu  398  rte  Thonon ;74390;CHÂTEL; 04  50  73  22  47 ;www.facebook.com
 LE  TRANSAT ; 110  chem  Houches ;74700;SALLANCHES; 04  50  58  24  64 ;www.facebook.com
 San  Ye ; Epagny  468  av  Centre ;74330; EPAGNY  METZ  TESSY ; 04  50  24  08  08 ;www.facebook.com
L'Estanco; 82  av  Cognacq  Jay ;74340;SAMOËNS; 04  50  34  40  11 ;www.facebook.com
 Muller  Nicolas ; Home  1  2  av  Chambéry ;74000;ANNECY; 06  46  18  34  33 ;None
 La  Ferme  des  Violons ; 1665  rte  Tonnaz ;74120; PRAZ  SUR  ARLY ; 04  50  21  93  76 ;None
Azzurro; 1  pas  Clercs ;74000;ANNECY; 04  50  11  57  20 ;www.restaurant-aromatik.com
Erciyes; 58  av  Gare ;74100;ANNEMASSE; 04  50  37  00  61 ;www.facebook.com
 Hôtel  des  Prodains ; Lieu  Dit  Prodains  2968  rte  Ardoisières ;74110;MORZINE; 04  50  79  25  26 ;www.facebook.com
 Uncle  Beans ; 6  r  Vieux  Thononais ;74200; THONON  LES  BAINS ; 04  50  76  14  21 ;http://www.uncle-beans.fr/
 La  Bagattine ; 61  Grand  Rue ;74350;CRUSEILLES; 04  50  44  10  59 ;www.facebook.com
 LA  CHAMADE ; 90  rte  Plagne ;74110;MORZINE; 04  50  79  13  91 ;http://www.lachamade.com
 L  Ecaille  D  Argent ; 2  r  18  Août  1944 ;74100;ETREMBIÈRES; 04  50  31  39  53 ;None
 LE  HORS  PISTE ; 5  rte  Vonnes ;74390;CHÂTEL; 04  50  76  11  54 ;http://www.horspiste-chatel.com
 Hotel  Du  Bois ; 475  av  Alpages ;74310; LES  HOUCHES ; 04  50  54  50  35 ;http://theskigathering.com
P&CO; 78  av  Cran ;74000;ANNECY; 04  50  09  03  79 ;http://www.p-co.fr
 L'Atelier  Des  4  Gourmets ; 16  r  Jean  Mermoz ;74000; ANNECY  LE  VIEUX ; 04  50  23  70  41 ;http://www.les4gourmets.com
Shahzada; résid  La  Marjolaine  rd-pt  5  Chemins ;74140; VEIGY  FONCENEX ; 04  50  95  53  01 ;http://www.shahzada.fr
 LE  COMPTOIR  A  RACLETTE ; rte  Argentière ;74400; CHAMONIX  MONT  BLANC ; 06  26  14  58  67 ;www.facebook.com
 La  Galine ; 281  rte  Montagne ;74440;MIEUSSY; 04  50  43  05  70 ;www.facebook.com
 Les  Delices  De  L'orient ; 7  pl  Libération ;74100;ANNEMASSE; 04  50  83  73  17 ;None
 Le  Feto ; 1  L'Ariot ;74360; LA  CHAPELLE  D'ABONDANCE ; 04  50  73  50  01 ;http://www.lefeto.com
 Dubos  Thierry ; 298  r  Faucigny ;74490; SAINT  JEOIRE ; 04  50  35  29  40 ;None
 La  Tour  de  Pizz ; 32  r  Ravier ;74100;AMBILLY; 09  86  32  64  83 ;www.facebook.com
 Hostellerie  du  Lac ; 158  r  Lac  La  Grande  Rive ;74500;NEUVECELLE; 04  50  75  02  92 ;http://www.hostellerie-du-lac.fr
 Bar  Restaurant  Des  Pêcheurs ; Grande  Rue ;74140;YVOIRE; 04  50  72  80  26 ;http://www.restaurantdespecheurs.com
 La  Salamandre ; 210  all  Crets  D'Acier ;74160;ARCHAMPS; 06  46  27  31  34 ;None
 O  Sole  Mio ; 2  r  Baron  de  Loë ;74100;ANNEMASSE; 04  50  95  83  83 ;None
 M.  Demolis  Hubert ; Lieu  Dit  Choisy  18  pl  Choisy ;74140;SCIEZ; 04  50  72  78  31 ;http://www.demolis-camping-gites-sciez.fr
 1967  Boire  et  Manger ; immeuble  Aldebaram  Flaine  Forum ;74300; ARÂCHES  LA  FRASSE ; 04  50  90  87  40 ;http://www.1967boireetmanger.com
 Les  Caves  Du  Château ; 6  rampe  Château ;74000;ANNECY; 09  51  17  29  98 ;www.facebook.com
 Le  Tavaillon ; imm  Les  Fontaines  Blanches  rte  Avoriaz ;74110;MORZINE; 04  50  74  14  18 ;None
 Restaurant  Le  Sirocco ; 14  r  Savoie ;74490; SAINT  JEOIRE ; 04  50  35  93  70 ;None
 Restaurant  Le  Babotch ; 60  chem  Raverots ;74120;MEGÈVE; 04  50  91  93  96 ;http://www.megeve.com/hiver/le-babotch.html#.VWsXdc
 H  Burger ; 21  av  Verdun ;74100;ANNEMASSE; 04  50  49  06  28 ;None
 Crêperie  du  Lutin ; 5  r  Monnaie ;74500; EVIAN  LES  BAINS ; 04  50  75  68  76 ;None
 La  2  Cv  Rouge ; 257  rte  Findrol ;74130; CONTAMINE  SUR  ARVE ; 06  85  90  28  19 ;http://www.la2cvrouge.com/
 Le  Lotus  Bleu ; Ens  Restaurant  Lotus  Bl  2  rte  Vion ;74140;DOUVAINE; 04  50  94  06  08 ;http://www.restaurant-thailandais.org
 LES  DELICES  D'ORIENT ; rte  Bellegarde ;74330;SILLINGY; 04  50  65  09  28 ;None
 Hôtel  Beauséjour ; 130  rte  Gare ;74370; SAINT  MARTIN  BELLEVUE ; 04  69  96  67  32 ;None
 La  Terrasse  du  Morclan  CM  MONTAGNE  SARL ;Conche;74390;CHÂTEL; 04  50  73  20  35 ;None
 Les  Golieres ; 540  rte  Creuses ;74650;CHAVANOD; 04  50  69  17  29 ;None
 231  East  St ; 9  fbg  Ste  Claire ;74000;ANNECY; 04  57  09  96  18 ;http://www.231-east.fr
 La  Fine  Bouche ; 80  pl  Poilu ;74400; CHAMONIX  MONT  BLANC ; 04  50  21  10  63 ;www.facebook.com
 Pizz  &  Co ; 1  Bis  av  Anna  de  Noailles ;74500; EVIAN  LES  BAINS ; 04  50  38  98  70 ;http://www.pizzco.fr
 Haute-Combe  Charbottaz ; chem  Sarbotte ;74300; ARÂCHES  LA  FRASSE ; 04  50  90  32  91 ;http://haute-combe.fr
 Le  Cocoon ; 182  rte  Edmond  De  Rothschild ;74120;MEGÈVE; 04  50  21  09  91 ;None
 Panier  des  4  Saisons  THYMO  SARL ; 262  r  Doct  Paccard ;74400; CHAMONIX  MONT  BLANC ; 04  50  53  98  77 ;http://www.restaurant-panierdes4saisons.com
 La  Ferme  De  Cupelin ; 198  rte  Château ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  93  47  30 ;http://www.lafermedecupelin.com
 Jsab  Fooding ; 349  rte  Villavit ;74450; LE  GRAND  BORNAND ; 04  50  60  20  71 ;None
 Chalet  D'Clair ; La  Vieille  d'En  Haut ;74440;MORILLON; 04  50  90  41  75 ;http://www.ot-morillon.fr/deguster/le-chalet-d-clair-173705
 Le  Passe  Franc ; r  Port ;74140;YVOIRE; 04  50  16  46  24 ;www.lepassefranc.fr
 Au  Briska ; 39  imm  Fontaines  Blanches  Avoriaz ;74110;MORZINE; 04  50  74  09  40 ;None
 Le  Chalet  Savoyard ; Col  Des  Aravis ;74220; LA  CLUSAZ ; 04  50  02  41  76 ;None
 Les  Arcades ; 4  quai  Eustache  Chappuis ;74000;ANNECY; 04  50  45  09  38 ;www.facebook.com
 Sam  Angkor ; 21  fbg  Ste  Claire ;74000;ANNECY; 09  53  00  36  31 ;http://sam-angkor.com
Pizz'Burg; Les  Portes  Du  Soleil  B  rte  Avoriaz ;74110;MORZINE; 04  50  79  18  17 ;www.facebook.com
GENOR-RESTAURATION; 25  r  Carnot ;74000;ANNECY; 04  50  45  09  91 ;None
 COCO  BEACH ; 995  rte  Albertville ;74320;SEVRIER; 04  50  60  02  62 ;http://www.lecocobeachsevrier.com
 Restaurant  Le  Franco-Suisse ; pl  Jean  Bernex ;74500; EVIAN  LES  BAINS ; 04  50  75  14  74 ;http://www.kamira.net
L'Hexagone; 13  av  Deux  Gares ;74970;MARIGNIER; 04  50  34  63  59 ;None
 Brasserie  Les  Terrasses ; 56  rte  Annemasse ;74890;BRENTHONNE; 04  50  31  75  85 ;www.brasserie-lesterrasses.com
 La  Pause ; 157  av  Gare ;74170; LE  FAYET ; 04  50  47  56  57 ;None
 L'Impérial  Palace ; all  Impérial ;74000;ANNECY; 04  50  09  30  00 ;http://www.hotel-imperialpalace.fr
 Les  Figuiers ; La  Pointe  4  chem  Pêcheurs ;74140;MESSERY; 04  50  94  34  68 ;http://www.restaurant-les-figuiers.com
 Green  Soft  Bar ; 73  av  Ravanel  le  Rouge ;74400; CHAMONIX  MONT  BLANC ; 04  50  47  90  19 ;None
 Auberge  du  Château  de  Clermont ; Chef  Lieu  Château  De  Clermont  266  montée  Chateau ;74270;CLERMONT; 04  50  77  14  10 ;http://www.auberge-chateau-clermont.fr
 Le  Wyn ; 74  r  Centrale ;74940; ANNECY  LE  VIEUX ; 04  50  27  62  05 ;www.facebook.com
