Name;address;Ville;CP;telephone;site
 Chez  Ingalls ; 29  r  Vaugelas ;74000;ANNECY; 04  50  45  25  96 ;https://www.chezingalls.fr
L'Arcadie; 8  pl  Trophée ;74540; ALBY  SUR  CHERAN ; 04  50  68  15  78 ;restaurantlarcadie.com
 Restaurant  le  Jardin  Impérial ; 11  r  Genève ;74100;ANNEMASSE; 04  50  38  71  70 ;https://www.lejardinimperial.com
 O  Savoyard ; 1  r  Perrière ;74000;ANNECY; 04  50  45  06  53 ;www.osavoyard.fr
 Restaurant  Les  Jardins  De  Léman ; Grande  Rue ;74140;YVOIRE; 04  50  72  80  32 ;http://www.restaurant-yvoire.fr
 La  Boîte  à  Pizza ; 6  pl  Henry  Bordeaux ;74200; THONON  LES  BAINS ; 04  50  26  06  06 ;www.laboiteapizza.com
 Restaurant  La  Renaissance  (SAS) ; 54  av  Charles  de  Gaulle ;74800; LA  ROCHE  SUR  FORON ; 04  50  03  13  13 ;www.la-renaissance-sa.com
 McDonald's  Rumilly ; r  Forts ;74150;RUMILLY; 04  50  02  37  44 ;www.restaurants.mcdonalds.fr
 La  Taillanderie ; 304  rte  du  Thovey ;74210;GIEZ; 04  50  02  53  84 ;www.lataillanderie.fr
 Brasserie  des  Européens ; pl  Hôtel  de  Ville ;74000;ANNECY; 04  50  45  00  81 ;www.brasserie-des-europeens.com
 McDonald's  Sevrier ; RN  508  rte  Albertville ;74320;SEVRIER; 04  50  52  65  86 ;www.restaurants.mcdonalds.fr
 Restaurant  Le  Pré  de  la  Cure ; 1  pl  de  la  Mairie ;74140;YVOIRE; 04  50  72  83  58 ;www.pre-delacure.com
 Restaurant  les  Rochers ; 24  rte  Paris ;74330; LA  BALME  DE  SILLINGY ; 04  50  68  70  07 ;http://www.hotellesrochers.fr
 McDonald's  Sallanches ; Centre  Cial  Carrefour  1805  rte  Genève ;74700;SALLANCHES; 04  50  47  87  27 ;www.restaurants.mcdonalds.fr
 Aux  Petits  Oignons ; 10  chem  Club ;74300; ARÂCHES  LA  FRASSE ; 04  50  90  36  93 ;http://www.apo74.fr
 Le  Fréti ; 12  r  Ste  Claire ;74000;ANNECY; 04  50  51  29  52 ;http://www.lefreti-annecy.fr
 Hôtel  Restaurant  Les  Rochers ; 24  rte  Paris ;74330; LA  BALME  DE  SILLINGY ; 04  50  68  70  07 ;http://www.hotellesrochers.fr
 Auberge  du  Lac ; 2  rte  Port ;74290; VEYRIER  DU  LAC ; 04  50  60  10  15 ;www.restaurant-aubergedulac.com
 Restaurant  Chalet  du  Port ; 615  port  de  Sciez ;74140;SCIEZ; 04  50  72  62  72 ;www.chaletduport.fr
 Aulnette  Stéphane ; 88  av  Mont  Blanc ;74460;MARNAZ; 04  50  78  48  60 ;www.facebook.com
 Auberge  Mont  Rond ; Chef  Lieu ;74110;MONTRIOND; 04  50  79  15  31 ;http://WWW.HOTEL-MONTROND.COM
 Restaurant  Du  Lac ; 736  rte  Gibannaz ;74260; LES  GETS ; 06  19  43  06  15 ;www.facebook.com
 Le  Chalet  de  Theo ; ham  Saix ;74360; LA  CHAPELLE  D'ABONDANCE ; 06  07  14  49  34 ;None
 O  GOUT  DU  JOUR ; 14  Bis  r  Commerce ;74100;ANNEMASSE; 04  50  06  74  22 ;None
 Brasserie  La  Rochoise ; Zone  Industrielle  Des  Dragiez  89  imp  Vernaz ;74800; LA  ROCHE  SUR  FORON ; 04  50  07  57  78 ;http://www.bierelarochoise.com
 Le  Délicium  JPMA  SAS ; résid  De  Rochebrune  11  all  Sporting  Rochebrune ;74120;MEGÈVE; 04  50  21  37  15 ;http://Www.delicium-megeve.com
IMMA; 28  r  Charles  Feige ;74120;MEGÈVE; 04  50  21  22  44 ;http://www.lehiboublanc.fr
 La  Crèmerie  Du  Moulin ; 2186  rte  Bouchet ;74400; CHAMONIX  MONT  BLANC ; 04  50  53  71  00 ;None
 Mundo  Pizza ; 19  r  Ravier ;74100;AMBILLY; 04  50  38  39  70 ;None
 La  Pointe  De  Nyon ; chem  Seyrosset  Bas ;74110;MORZINE; 04  50  04  59  83 ;None
 Bar  Piscine  des  Marquisats ; 29  r  Marquisats ;74000;ANNECY; 04  50  33  65  44 ;www.annecy.fr
 Les  Fresques ; Hôtel  Royal  960  av  Neuvecelle ;74500; EVIAN  LES  BAINS ; 04  50  26  94  24 ;www.hotel-royal-evian.com
 Barcelone  A  Tanger ; 25  r  République ;74100; VILLE  LA  GRAND ; 04  50  37  25  04 ;www.barcelone-a-tanger.fr
 Le  Bistrot  du  Treige ; 500  av  Aix  les  Bains ;74600;SEYNOD; 04  50  46  29  79 ;www.lebistrotdutreige.fr
 La  Yaute  Cafe ; 2100  rte  Argentière ;74400; CHAMONIX  MONT  BLANC ; 04  50  54  11  21 ;http://www.layautecafe.com
 Hôtel  Restaurant  au  Fil  de  l'eau ; 3  quai  Rhône ;74910;SEYSSEL; 04  50  56  11  84 ;http://www.hotel-restaurant-aufildeleau.fr
 Oktay  . ; 205  av  République ;74800; SAINT  PIERRE  EN  FAUCIGNY ; 09  84  45  05  74 ;http://mustikebab.com
 Hôtel  l'Arc  en  Ciel ; 18  pl  Crête ;74200; THONON  LES  BAINS ; 04  50  71  90  63 ;www.hotelarcencielthonon.com
 Le  111  SAS ; 111  r  Centre ;74140;DOUVAINE; 04  50  85  06  25 ;http://www.le111.fr
