,Nom,Adresse,Code_Postal,Ville,Telephone,Site_Internet,Style_Culinaire,Note,Suggestion,Prestation,Horaires,Longitude,Latitude
244,TAVERNE DE PONTVERRE,1214 rte Gorges,74330,LOVAGNY,04 50 67 68 31,,cuisine française,5.0,,terrasse / parking / restaurant repas de groupe / wifi,"['Lundi', '12h00 - 14h00', 'Mardi', '12h00 - 14h00', 'Mercredi', '12h00 - 14h00', 'Jeudi', '12h00 - 14h00', '19h00 - 22h00', 'Vendredi', '12h00 - 14h00', '19h00 - 22h00', 'Samedi', '12h00 - 14h00', '19h00 - 22h00', 'Dimanche', '12h00 - 14h00']",,
245,La Pela,38 r Ancienne Fruitière,74260,LES GETS,04 50 79 85 02,http://www.la-pela.com,,,,animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe,"['Lundi', '12h00 - 14h00', '19h00 - 22h00', 'Mardi', '12h00 - 14h00', '19h00 - 22h00', 'Mercredi', '12h00 - 14h00', '19h00 - 22h00', 'Jeudi', '12h00 - 14h00', '19h00 - 22h00', 'Vendredi', '12h00 - 14h00', '19h00 - 22h00', 'Samedi', '12h00 - 14h00', '19h00 - 22h00', 'Dimanche', '12h00 - 14h00', '19h00 - 22h00']",,
246,La Croissanterie,Glrie Mde Auchan Balme de Sillin rte dép 1508,74330,EPAGNY METZ TESSY,04 50 22 27 74,http://www.lacroissanterie.fr,,,,sandwicherie,"['Lundi', 'Mardi', '09h00 - 20h00', 'Mercredi', '09h00 - 20h00', 'Jeudi', '09h00 - 20h00', 'Vendredi', '09h00 - 20h00', 'Samedi', '09h00 - 20h00', 'Dimanche', '09h00 - 20h00']",,
247,Restaurant le Carnotzet,22 rte St Saphrin,74350,ANDILLY,04 50 44 06 61,http://www.lecarnotzet-andilly.fr/fr,cuisine française,4.0,,animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe,"['Lundi', 'Mardi', '12h00 - 13h30', '19h30 - 21h30', 'Mercredi', '12h00 - 13h30', '19h30 - 21h30', 'Jeudi', '12h00 - 13h30', '19h30 - 21h30', 'Vendredi', '12h00 - 13h30', '19h30 - 21h30', 'Samedi', '12h00 - 13h30', '19h30 - 21h30', 'Dimanche', '12h00 - 13h30', '19h30 - 21h30']",,
248,Hôtel Le Chamois,Praz De Lys Le Pontet,74440,TANINGES,04 50 34 22 72,www.chamois-leprazdelys.com,,,,jardin / animaux acceptés / hôtel avec piscine / facilités bébé / parking / wifi / restaurant / Hôtels  / Restaurants ,,,
249,Bosna Market,17 av Cran,74000,ANNECY,06 16 08 41 72,,,,cevapi+boissons-grande / fillet de poulet+frit+salade+boissons / soupe aux haricots / goulash / cafe / the,,"['Lundi', '07h30 - 22h00', 'Mardi', '07h30 - 22h00', 'Mercredi', '07h30 - 22h00', 'Jeudi', '07h30 - 22h00', 'Vendredi', '07h30 - 00h00', 'Samedi', '07h30 - 00h00', 'Dimanche', '07h30 - 22h00']",45.905559999999994,6.118972
250,Le Terrasse Café,579 chem Moutely Le Maz,74120,MEGÈVE,04 50 53 11 32,www.restaurants-altitude.com,,,,repas de groupe / menu enfant / sur réservation / événement sur mesure / repas à emporter / repas séminaire,"['Lundi', '12h00 - 18h00', 'Mardi', '12h00 - 18h00\n ', 'Mercredi', '12h00 - 18h00', 'Jeudi', '12h00 - 18h00', 'Vendredi', '12h00 - 18h00', 'Samedi', '12h00 - 18h00', 'Dimanche', '12h00 - 18h00']",45.844526,6.626285
251,Monster Burger,Flaine Forum,74300,FLAINE,06 18 58 76 75,,,,,,,,
252,Les Figuiers,La Pointe 4 chem Pêcheurs,74140,MESSERY,04 50 94 34 68,http://www.restaurant-les-figuiers.com,,,,organisation de réception / jardin / terrasse / restaurant repas de groupe,"['Lundi', 'Mardi', 'Mercredi', '12h00 - 14h00', '19h00 - 21h00', 'Jeudi', '12h00 - 14h00', '19h00 - 21h00', 'Vendredi', '12h00 - 14h00', '19h00 - 21h00', 'Samedi', '12h00 - 14h00', '19h00 - 21h00', 'Dimanche', '12h00 - 14h00', '19h00 - 21h00']",,
253,Marmaris Kebab,38 r Ste Catherine,74130,BONNEVILLE,04 50 03 96 30,,restauration rapide,5.0,,organisation de réception / kebab / plat à emporter / terrasse / repas d'affaire / facilité bébé / restaurant repas de groupe / restaurant halal / accès handicapés / climatisation / wifi,"['Lundi', '11h00 - 14h30', '17h30 - 22h00', 'Mardi', ' 11h00 - 14h30', '17h30 - 22h00', 'Mercredi', '11h00 - 14h30', '17h30 - 22h00', 'Jeudi', '11h00 - 14h30', '17h30 - 22h00', 'Vendredi', '11h00 - 14h30', '17h30 - 22h00', 'Samedi', '11h00 - 14h30', '17h30 - 22h00', 'Dimanche', '17h30 - 22h00']",,
