;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Style_Culinaire;Note;Suggestion;Prestation;Horaires;Longitude;Latitude
1498;La Voix De Son Maitre;3 pl Grimaldi;06000;NICE;04 93 82 28 47;http://www.lavoixdesonmaitre-nice.com;cuisine française;5.0;;crêperie / animaux acceptés / terrasse / facilité bébé / accès handicapés / climatisation;['Lundi', '12h00 - 14h30', '19h00 - 22h00', 'Mardi', '12h00 - 14h30', '19h00 - 22h00', 'Mercredi', ' 12h00 - 14h30', '19h00 - 22h00', 'Jeudi', '12h00 - 14h30', '19h00 - 22h00', 'Vendredi', '12h00 - 22h00', 'Samedi', '12h00 - 22h00', 'Dimanche'];;
1499;Le Vietnam;14 av Henri Isnard;06140;VENCE;04 93 58 99 84;www.facebook.com;cuisine du monde;3.0;;plat à emporter / animaux acceptés / facilité bébé / restaurant repas de groupe / accès handicapés / climatisation / wifi;['Lundi', '18h00 - 22h00', 'Mardi', '12h00 - 14h00', '18h00 - 22h00', 'Mercredi', '18h00 - 22h00', 'Jeudi', '12h00 - 14h00', '18h00 - 22h00', 'Vendredi', '12h00 - 14h00', '18h00 - 22h00', 'Samedi', '12h00 - 14h00', '18h00 - 22h00', 'Dimanche', '12h00 - 14h00', '18h00 - 22h00'];43.723057;7.111577
1500;Aux Planches;3 prom Plage;06800;CAGNES SUR MER;04 93 20 23 02;http://restaurant-auxplanches.com/;cuisine française;5.0;Filets de rouget grillés sur galette de pomme de terre son jambon cru et sa vinaigrette aux arômes d'orange sur lit de salade de jeunes pousses / Noix de St Jacques juste grillée sur son veloute de petit pois à l'huile de truffe et ses chips de bacon / Côtelettes d'agneau rôti aux jus d'épices écrasé de pomme de terre et sa ratatouille provençale / Gambas Royales juste grillées et sa sauce vierge accompagnée de son riz à l'estragon et sa ratatouille provençale / Café gourmand ( 4 assortiments fait maiqon) / Profiteroles à la glace vanille, chocolat chaud et amandes grillées;animaux acceptés / terrasse / parking / restaurant repas de groupe;['Lundi', '10h00 - 14h00', '19h00 - 22h00', 'Mardi', 'Mercredi', 'Jeudi', '10h00 - 14h00', '19h00 - 22h00', 'Vendredi', '10h00 - 14h00', '19h00 - 22h00', 'Samedi', '10h00 - 14h00', '19h00 - 22h00', 'Dimanche', '10h00 - 14h00', '19h00 - 22h00'];;
1501;Hotel Des Anges;12 r Lascaris;06300;NICE;04 93 07 28 68;www.facebook.com;;;;;['Lundi', '12h00 - 14h00', '17h00 - 23h30', 'Mardi', '12h00 - 14h00', '17h00 - 23h30', 'Mercredi', '12h00 - 14h00', '17h00 - 23h30', 'Jeudi', '12h00 - 14h00', '17h00 - 23h30\n ', 'Vendredi', '12h00 - 14h00', '17h00 - 23h30', 'Samedi', '12h00 - 14h00', '17h00 - 23h30', 'Dimanche'];43.69986;7.284853
1502;Adana;29 av St Sylvestre;06000;NICE;09 50 26 78 18;www.facebook.com;;;;plat à emporter / terrasse / restaurant repas de groupe / service continu / restaurant halal / accès handicapés / climatisation / wifi;['Lundi', '11h00 - 23h00', 'Mardi', '11h00 - 23h00', 'Mercredi', '11h00 - 23h00\n ', 'Jeudi', '11h00 - 23h00', 'Vendredi', '11h00 - 23h00', 'Samedi', '11h00 - 23h00', 'Dimanche', '11h00 - 23h00'];;
1503;Marco's Café SARL;18 r Desjoberts;06700;SAINT LAURENT DU VAR;09 83 56 87 46;http://restaurantmarcos.wixsite.com/marcoscafe;;;Brick au thon, pomme de terre et oeuf / Duo de hummus et falafel (vegan) / Couscous royal au poisson / Lasagnes maison au saumon et petits légumes, salade verte bio / Brownie Maison sans gluten et de l?agriculture biologique / Crumble Maison sans gluten et de l?agriculture biologique;restaurant sans gluten / terrasse / facilité bébé / restaurant bio / wifi / organisation de réception / plat à emporter / restaurant végétarien / animaux acceptés / restaurant végétalien / bistrot / restaurant repas de groupe / climatisation;['Lundi', 'Mardi', 'Mercredi', '10h00 - 17h30', 'Jeudi', '10h00 - 17h30', 'Vendredi', '10h00 - 21h00', 'Samedi', '10h00 - 20h00', 'Dimanche', '10h15 - 17h00'];;
1504;Golf Country Club de Nice;Route de Grenoble 698 bd Mercantour;06000;NICE;04 93 29 82 00;http://www.golf-club-nice.com/restaurant.html;;;;Terrains, clubs de golf  / Restaurants ;;;
1505;Sams Family;4 r Marceau;06400;CANNES;09 67 19 82 67;auxptitsanges.blogspot.com;;;;Animaux acceptés / Climatisation / Wifi / Restaurant repas de groupes / Terrasse;['Lundi', 'Mardi', '12h00 - 14h30', '19h00 - 23h00', 'Mercredi', '12h00 - 14h30', '19h00 - 23h00', 'Jeudi', '12h00 - 14h30', '19h00 - 23h00', 'Vendredi', '12h00 - 14h30', '19h00 - 23h00', 'Samedi', '12h00 - 14h30', '19h00 - 23h00', 'Dimanche'];;
1506;Pizza Cros;98 av Nice;06800;CAGNES SUR MER;04 93 14 43 06;http://www.pizza-cros.com;;;;Italienne ;;;
1507;Bocca Croq;13 r Verrerie, Cannes la Bocca;06150;CANNES;06 59 39 31 98;;;;;;['Lundi', '10h00 - 14h30', '17h30 - 21h00', 'Mardi', '10h00 - 14h30', '17h30 - 21h00', 'Mercredi', '10h00 - 14h30', '17h30 - 21h00', 'Jeudi', '10h00 - 14h30', '17h30 - 21h00', 'Vendredi', '10h00 - 14h30', '17h30 - 21h00', 'Samedi', '10h00 - 14h30', '17h30 - 21h00', 'Dimanche'];;
